Condition,Item,Word,RT,Subject,phrase_g,grammaticality_g,distractor_g,region_g,grammaticality,distractor
fq2,30,0,662,1,The,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,30,1,928,1,boy(s),Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,30,2,848,1,who,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,30,3,928,1,The,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,30,4,824,1,girl(s),Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,30,5,801,1,saw,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,30,6,1031,1,quite,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,30,7,784,1,"recently,",Grammatical,Pluarl distractor,pre-critical,-0.5,-0.5
fq2,30,8,889,1,all,Grammatical,Pluarl distractor,critical,-0.5,-0.5
fq2,30,9,663,1,walked,Grammatical,Pluarl distractor,spillover,-0.5,-0.5
fq2,30,10,600,1,back,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,30,11,792,1,home,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,30,12,720,1,from,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,30,13,664,1,school.,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,30,14,504,1,NA,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,30,15,729,1,NA,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq4,28,0,663,1,The,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,28,1,648,1,boy(s),Ungrammatical,Singular distractor,null,0.5,0.5
fq4,28,2,689,1,who,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,28,3,719,1,The,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,28,4,704,1,girl(s),Ungrammatical,Singular distractor,null,0.5,0.5
fq4,28,5,648,1,saw,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,28,6,824,1,quite,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,28,7,1112,1,"recently,",Ungrammatical,Singular distractor,pre-critical,0.5,0.5
fq4,28,8,880,1,all,Ungrammatical,Singular distractor,critical,0.5,0.5
fq4,28,9,705,1,walked,Ungrammatical,Singular distractor,spillover,0.5,0.5
fq4,28,10,887,1,back,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,28,11,809,1,home,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,28,12,1103,1,from,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,28,13,648,1,school.,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,40,0,544,1,The,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,40,1,743,1,boy(s),Ungrammatical,Singular distractor,null,0.5,0.5
fq4,40,2,624,1,who,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,40,3,NA,1,The,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,40,4,NA,1,girl(s),Ungrammatical,Singular distractor,null,0.5,0.5
fq4,40,5,NA,1,saw,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,40,6,NA,1,quite,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,40,7,NA,1,"recently,",Ungrammatical,Singular distractor,pre-critical,0.5,0.5
fq4,40,8,NA,1,all,Ungrammatical,Singular distractor,critical,0.5,0.5
fq4,40,9,NA,1,walked,Ungrammatical,Singular distractor,spillover,0.5,0.5
fq4,40,10,NA,1,back,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,40,11,NA,1,home,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,40,12,NA,1,from,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,40,13,NA,1,school.,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,36,0,1408,1,The,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,36,1,752,1,boy(s),Ungrammatical,Singular distractor,null,0.5,0.5
fq4,36,2,664,1,who,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,36,3,2152,1,The,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,36,4,728,1,girl(s),Ungrammatical,Singular distractor,null,0.5,0.5
fq4,36,5,840,1,saw,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,36,6,808,1,quite,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,36,7,944,1,"recently,",Ungrammatical,Singular distractor,pre-critical,0.5,0.5
fq4,36,8,1048,1,all,Ungrammatical,Singular distractor,critical,0.5,0.5
fq4,36,9,688,1,walked,Ungrammatical,Singular distractor,spillover,0.5,0.5
fq4,36,10,664,1,back,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,36,11,664,1,home,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,36,12,825,1,from,Ungrammatical,Singular distractor,null,0.5,0.5
fq4,36,13,767,1,school.,Ungrammatical,Singular distractor,null,0.5,0.5
fq2,42,0,584,1,The,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,42,1,521,1,boy(s),Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,42,2,568,1,who,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,42,3,721,1,The,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,42,4,743,1,girl(s),Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,42,5,607,1,saw,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,42,6,720,1,quite,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,42,7,584,1,"recently,",Grammatical,Pluarl distractor,pre-critical,-0.5,-0.5
fq2,42,8,831,1,all,Grammatical,Pluarl distractor,critical,-0.5,-0.5
fq2,42,9,641,1,walked,Grammatical,Pluarl distractor,spillover,-0.5,-0.5
fq2,42,10,705,1,back,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,42,11,767,1,home,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,42,12,600,1,from,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,42,13,528,1,school.,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,42,14,785,1,NA,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,42,15,903,1,NA,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,38,0,503,1,The,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,38,1,625,1,boy(s),Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,38,2,583,1,who,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,38,3,728,1,The,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,38,4,664,1,girl(s),Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,38,5,648,1,saw,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,38,6,561,1,quite,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,38,7,503,1,"recently,",Grammatical,Pluarl distractor,pre-critical,-0.5,-0.5
fq2,38,8,569,1,all,Grammatical,Pluarl distractor,critical,-0.5,-0.5
fq2,38,9,703,1,walked,Grammatical,Pluarl distractor,spillover,-0.5,-0.5
fq2,38,10,640,1,back,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,38,11,544,1,home,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,38,12,688,1,from,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,38,13,664,1,school.,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,38,14,744,1,NA,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq3,47,0,543,1,The,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,47,1,865,1,boy(s),Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,47,2,687,1,who,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,47,3,728,1,The,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,47,4,760,1,girl(s),Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,47,5,625,1,saw,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,47,6,623,1,quite,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,47,7,752,1,"recently,",Ungrammatical,Pluarl distractor,pre-critical,0.5,-0.5
fq3,47,8,824,1,all,Ungrammatical,Pluarl distractor,critical,0.5,-0.5
fq3,47,9,783,1,walked,Ungrammatical,Pluarl distractor,spillover,0.5,-0.5
fq3,47,10,601,1,back,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,47,11,664,1,home,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,47,12,584,1,from,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,47,13,568,1,school.,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq2,46,0,760,1,The,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,46,1,991,1,boy(s),Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,46,2,600,1,who,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,46,3,784,1,The,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,46,4,664,1,girl(s),Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,46,5,712,1,saw,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,46,6,640,1,quite,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,46,7,769,1,"recently,",Grammatical,Pluarl distractor,pre-critical,-0.5,-0.5
fq2,46,8,663,1,all,Grammatical,Pluarl distractor,critical,-0.5,-0.5
fq2,46,9,849,1,walked,Grammatical,Pluarl distractor,spillover,-0.5,-0.5
fq2,46,10,719,1,back,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,46,11,584,1,home,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,46,12,545,1,from,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,46,13,888,1,school.,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq3,43,0,529,1,The,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,43,1,687,1,boy(s),Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,43,2,560,1,who,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,43,3,808,1,The,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,43,4,704,1,girl(s),Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,43,5,680,1,saw,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,43,6,712,1,quite,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,43,7,800,1,"recently,",Ungrammatical,Pluarl distractor,pre-critical,0.5,-0.5
fq3,43,8,745,1,all,Ungrammatical,Pluarl distractor,critical,0.5,-0.5
fq3,43,9,647,1,walked,Ungrammatical,Pluarl distractor,spillover,0.5,-0.5
fq3,43,10,728,1,back,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,43,11,640,1,home,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,43,12,809,1,from,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,43,13,864,1,school.,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,39,0,583,1,The,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,39,1,704,1,boy(s),Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,39,2,665,1,who,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,39,3,967,1,The,Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,39,4,624,1,girl(s),Ungrammatical,Pluarl distractor,null,0.5,-0.5
fq3,39,5,545,1,saw,Ungrammatical,Pluarl distractor,null,0.5,-0.5
