Subject,Item,Condition,Word,RT,RegionP,GrammaticalityP,DistractorP,Grammaticality,Distractor,IF_Gramm,IF_Ungramm
1,18,cond2,0,497,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,cond2,1,1382,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,cond2,2,487,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,cond2,3,693,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,cond2,4,596,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,cond2,5,463,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,cond2,6,613,Pre-reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,cond2,7,725,Reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,cond2,8,525,Post-reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,cond2,9,NA,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,cond2,10,NA,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,cond2,11,NA,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,cond2,12,NA,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,cond2,13,NA,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,3,cond3,0,506,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,3,cond3,1,614,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,3,cond3,2,649,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,3,cond3,3,NA,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,3,cond3,4,NA,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,3,cond3,5,NA,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,3,cond3,6,NA,Pre-reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,3,cond3,7,NA,Reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,3,cond3,8,NA,Post-reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,3,cond3,9,NA,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,3,cond3,10,NA,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,3,cond3,11,NA,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,10,cond2,0,462,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,10,cond2,1,629,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,10,cond2,2,525,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,10,cond2,3,662,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,10,cond2,4,472,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,10,cond2,5,600,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,10,cond2,6,639,Pre-reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,10,cond2,7,615,Reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,10,cond2,8,706,Post-reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,10,cond2,9,829,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,10,cond2,10,608,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,10,cond2,11,NA,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,24,cond4,0,864,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,cond4,1,1251,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,cond4,2,505,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,cond4,3,635,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,cond4,4,554,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,cond4,5,584,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,cond4,6,863,Pre-reflexive,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,cond4,7,659,Reflexive,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,cond4,8,709,Post-reflexive,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,cond4,9,534,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,cond4,10,784,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,14,cond2,0,563,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,cond2,1,533,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,cond2,2,578,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,cond2,3,784,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,cond2,4,443,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,cond2,5,590,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,cond2,6,519,Pre-reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,cond2,7,NA,Reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,cond2,8,NA,Post-reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,cond2,9,NA,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,cond2,10,NA,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,cond2,11,NA,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,cond2,12,NA,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,cond2,13,NA,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,11,cond3,0,450,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,cond3,1,508,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,cond3,2,621,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,cond3,3,829,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,cond3,4,481,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,cond3,5,488,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,cond3,6,1210,Pre-reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,cond3,7,582,Reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,cond3,8,532,Post-reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,cond3,9,866,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,cond3,10,641,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,cond3,11,700,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,cond3,12,628,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,9,cond1,0,476,Others,Grammatical,Match,0.5,0.5,0.5,0
1,9,cond1,1,518,Others,Grammatical,Match,0.5,0.5,0.5,0
1,9,cond1,2,642,Others,Grammatical,Match,0.5,0.5,0.5,0
1,9,cond1,3,558,Others,Grammatical,Match,0.5,0.5,0.5,0
1,9,cond1,4,553,Others,Grammatical,Match,0.5,0.5,0.5,0
1,9,cond1,5,538,Others,Grammatical,Match,0.5,0.5,0.5,0
1,9,cond1,6,699,Pre-reflexive,Grammatical,Match,0.5,0.5,0.5,0
1,9,cond1,7,607,Reflexive,Grammatical,Match,0.5,0.5,0.5,0
1,9,cond1,8,NA,Post-reflexive,Grammatical,Match,0.5,0.5,0.5,0
1,9,cond1,9,NA,Others,Grammatical,Match,0.5,0.5,0.5,0
1,9,cond1,10,NA,Others,Grammatical,Match,0.5,0.5,0.5,0
1,8,cond4,0,379,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,8,cond4,1,760,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,8,cond4,2,416,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,8,cond4,3,698,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,8,cond4,4,1025,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,8,cond4,5,491,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,8,cond4,6,552,Pre-reflexive,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,8,cond4,7,745,Reflexive,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,8,cond4,8,699,Post-reflexive,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,8,cond4,9,903,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,8,cond4,10,518,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,8,cond4,11,694,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,8,cond4,12,752,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,8,cond4,13,842,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,16,cond4,0,498,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,16,cond4,1,685,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,16,cond4,2,459,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,16,cond4,3,790,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,16,cond4,4,468,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,16,cond4,5,785,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,16,cond4,6,617,Pre-reflexive,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,16,cond4,7,560,Reflexive,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,16,cond4,8,705,Post-reflexive,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,16,cond4,9,494,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,16,cond4,10,741,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,16,cond4,11,885,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,16,cond4,12,795,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,16,cond4,13,823,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,7,cond3,0,439,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,7,cond3,1,542,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,7,cond3,2,575,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,7,cond3,3,583,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,7,cond3,4,648,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,7,cond3,5,NA,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,7,cond3,6,NA,Pre-reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,7,cond3,7,NA,Reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,7,cond3,8,NA,Post-reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,7,cond3,9,NA,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,7,cond3,10,NA,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,7,cond3,11,NA,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,21,cond1,0,445,Others,Grammatical,Match,0.5,0.5,0.5,0
1,21,cond1,1,754,Others,Grammatical,Match,0.5,0.5,0.5,0
1,21,cond1,2,591,Others,Grammatical,Match,0.5,0.5,0.5,0
1,21,cond1,3,770,Others,Grammatical,Match,0.5,0.5,0.5,0
1,21,cond1,4,651,Others,Grammatical,Match,0.5,0.5,0.5,0
1,21,cond1,5,595,Others,Grammatical,Match,0.5,0.5,0.5,0
1,21,cond1,6,592,Pre-reflexive,Grammatical,Match,0.5,0.5,0.5,0
1,21,cond1,7,522,Reflexive,Grammatical,Match,0.5,0.5,0.5,0
1,21,cond1,8,560,Post-reflexive,Grammatical,Match,0.5,0.5,0.5,0
1,21,cond1,9,NA,Others,Grammatical,Match,0.5,0.5,0.5,0
1,21,cond1,10,NA,Others,Grammatical,Match,0.5,0.5,0.5,0
1,21,cond1,11,NA,Others,Grammatical,Match,0.5,0.5,0.5,0
1,21,cond1,12,NA,Others,Grammatical,Match,0.5,0.5,0.5,0
1,21,cond1,13,NA,Others,Grammatical,Match,0.5,0.5,0.5,0
1,15,cond3,0,535,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,15,cond3,1,991,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,15,cond3,2,564,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,15,cond3,3,696,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,15,cond3,4,527,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,15,cond3,5,750,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,15,cond3,6,560,Pre-reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,15,cond3,7,590,Reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,15,cond3,8,NA,Post-reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,15,cond3,9,NA,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,15,cond3,10,NA,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,15,cond3,11,NA,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,2,cond2,0,427,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,2,cond2,1,596,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,2,cond2,2,508,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
